id,pet_id,label,breed_label
0c2aa3f7-699f-59e1-b43d-4d0a1ccf8a0d,[4474],0,[11]
cf344b7a-5593-5a8b-9155-2481b2fe813a,[2884],1,[34]
6cafc3ba-77d4-59bf-ab54-2a00a8adeffc,[3270],1,[17]
23f6533e-ebc2-5596-be6b-d5bb087933b6,"[5163, 6652]",2,"[5, 12]"
43879ab3-c4f3-5713-8176-9bcf800eb591,[6946],1,[25]
df4d8366-819b-5f76-a2aa-12f01bbf6709,[6871],1,[23]
d874d21c-0073-5647-8659-515840f0538f,[6991],1,[32]
6653e96c-406e-579d-a794-a93e21a70013,"[541, 1206]",2,"[3, 19]"
7634d584-b244-5a34-8750-6487188772a5,[328],0,[5]
408ac855-868c-55ea-bc60-366a9e73e5b8,[5506],1,[16]
30e912bc-8f1c-54d9-8f9f-5424639f4fbc,[5901],1,[16]
56326039-e003-5ea6-9cb5-aa1dc8405f04,"[74, 119]",2,"[11, 32]"
90795671-f17f-543e-b9fc-b689c5e75742,[5227],1,[28]
d067f6b4-1fe4-55ea-be5e-113bf7e28c1e,"[113, 3003]",2,"[4, 22]"
260784b7-4eac-543e-907e-65977142086b,[1175],1,[25]
e99b6425-bd6b-5b6c-85d5-5bd121742017,[3919],0,[2]
21592dd1-95cd-5cdd-9a22-e51938db2066,[5217],1,[26]
1f16edbf-4318-502e-98f4-582ca3afd3b6,[3570],1,[32]
4d9aa4ad-7bff-5cf5-9558-124abbfa36d3,[6003],0,[6]
6dc72464-df2f-5432-904a-df3db606be71,[3113],1,[35]
94e522ac-a061-5053-a842-db09e05492cb,[1328],1,[29]
cb4de60d-b17c-5790-802d-505c0e411592,[2102],0,[11]
4e43b73c-b210-533d-813f-1b78d67f6715,[2107],1,[19]
c325b4cb-5747-5e83-ae64-fad223ad6975,"[215, 3925]",2,"[8, 19]"
c09f1452-83b7-54f8-9e7a-af57ba30e0b0,[3918],1,[31]
9d33dbc5-266c-516b-824f-3cfe00df395b,"[4704, 4705]",2,"[9, 20]"
fcd9dbc3-d207-556b-83c9-ef92b48fa048,"[9, 319]",2,"[5, 29]"
48c765ff-4fbc-507c-84c7-9115fa7028da,[831],1,[27]
c3973296-7e97-5ba3-a746-bb9b4b4a5dcb,[6294],1,[28]
a0c490ec-2e14-5fd0-9bf6-4cf5b04a6d12,[4841],0,[6]
d5a37fed-5051-5973-8f4a-b888d53ce188,[1983],0,[2]
f4ea73db-f557-5d63-8e9c-d4880037c490,[4129],1,[36]
e6a8c2a1-8a4c-514b-8450-9b3bc38ac67c,[6610],1,[24]
b261563a-9594-5bb7-8f1d-cc34bce9aedb,"[379, 5668]",2,"[6, 18]"
f67dfc10-3f3a-5955-8949-18d35c4154e6,[471],0,[1]
8b7ce3d9-a140-5274-aee3-e2b493e0b768,"[1771, 1575]",2,"[3, 16]"
3a1fe599-161a-5000-8e7e-6f5e3f38da55,[2181],0,[11]
99d98aa1-b08a-5070-a31f-7410d66ad142,[5935],1,[24]
a14a650f-609e-53d9-b78b-6132c8a2d28d,[6843],0,[2]
780c3a7f-c41b-524b-aa90-0df08bff5545,[5398],1,[33]
98b43b36-f016-5835-88c8-7fbe19851f76,[2304],1,[35]
4d2fb507-8046-5ec1-a0cc-6c83a12bbba4,[890],1,[20]
98c4f629-db56-5fc1-8cd9-425ea9ae1132,[2073],1,[29]
d4192767-d626-5821-af75-cbebdeb43306,[2425],1,[36]
f1778e78-09ed-55a5-ac60-a8763e49c304,[5991],1,[32]
4f2ea3e5-1b5b-5303-95cf-f8b5f6549f84,[685],1,[36]
3388a8ac-2a76-5f91-a699-85ae25d5e4db,"[995, 2316]",2,"[5, 17]"
df190ec0-b000-5502-bc24-1d87d7006587,[5955],1,[27]
1b44d71c-0e9c-548c-9e0a-3f676a393a2f,[572],0,[1]
f302597e-7110-51ef-8e25-5a8460eb1106,[4812],1,[15]
6cfcec51-38b9-5495-918d-9fed9ab38dcb,"[1623, 3828]",2,"[2, 35]"
25661fbd-c06e-5665-ae0a-df77853ac505,[5001],1,[18]
29a1c165-5897-5fdb-bbff-c231348f22a8,[493],1,[30]
8758fba4-e3d4-5332-9620-0109c0752692,[5092],0,[6]
72f95e57-0ade-5937-a039-a0a4c18f5a3d,[4234],1,[17]
099cec65-25a5-5f74-9072-7716156ef111,[4065],0,[4]
24bfee91-2549-52a6-838d-41156edb9ee0,[2754],1,[35]
51e11ddf-48ae-51e7-912b-4d8a4e03449f,[5700],1,[35]
8da29f04-55d7-559b-a2db-3408ffbdd09b,"[915, 3115]",2,"[7, 17]"
ee5c3203-273b-518a-ab45-fa65c8332c91,[4025],1,[28]
51a3c6f6-3561-5e93-b3ab-865a82765657,[1050],0,[4]
bd822da0-e2bb-58e2-b98c-7ba975630403,[144],0,[2]
f625be43-c8f2-5ab4-ac7b-ce53986efc10,[5570],0,[10]
bfbba01a-6eba-5f38-913d-e8210faeabce,"[4323, 1581]",2,"[10, 26]"
1448ab10-903f-52c3-a481-4dffabf2801d,[2850],1,[22]
eb1f42fe-2a0e-54b8-a37c-c466808439cd,[874],1,[28]
28032463-82ed-5622-ab7b-c210c296ccbc,[2489],0,[8]
4efe2035-f158-577d-91c2-b64047841e3a,[2177],0,[2]
c97dccb3-a73c-5362-b321-b74592d936f7,[2376],0,[5]
26381a1a-b45e-592e-8694-c359415dc879,[3377],1,[16]
1b7d9b54-7f73-5776-b4f3-065a05c07bdd,[1878],1,[19]
00dbcbfc-5d15-53cf-81d6-2deb69e9ec63,[2448],0,[10]
7fd534c6-2807-5a4a-be52-28bc5e2ae1fb,[6117],1,[21]
6d06075c-c92a-5397-aa51-772bf48af02b,[6893],1,[35]
e46066c0-5621-5415-8e10-4f56248ce6ed,[5281],1,[33]
eeffd460-03b1-5310-aefa-fb68046e8257,[1123],0,[10]
169e3249-1f97-5e3d-b506-6356c46b3e06,[513],1,[27]
3038500f-78e5-56af-8a48-aa241c890d36,[1490],1,[33]
8481486b-506d-5277-9955-d0bd27b01563,[1696],0,[1]
fc02cfb9-dc5c-5937-89b6-2331a332648b,"[1854, 1346]",2,"[3, 19]"
5e496081-e1ba-5efb-a523-65ac082c99e8,[1662],1,[20]
67c37ca8-dbed-551a-abf9-60b4bb0f27bb,[330],1,[19]
23769364-cd47-5640-979f-7b9ebb1d2725,[1563],1,[15]
bd86a13a-8595-54fd-9289-35bde1a311ab,[3126],1,[34]
0074b60c-18b6-5ef6-8d02-9af9becd7e67,[2026],0,[4]
ed70663f-ad03-5027-9244-5107c2a7d9f4,[4401],0,[3]
980e791e-5160-5669-beaa-4249e7fe0110,[745],1,[33]
993d64be-c7d3-54a7-ba9c-c1c17fd50e63,[2009],0,[2]
6faf8751-d98c-5f9e-bee7-df08968e1d6a,[3144],0,[7]
47a3ef18-4a71-518f-9568-13d6595c2f7c,[2326],1,[24]
e90873b7-8d9d-589d-80a2-33f68922a325,[7125],1,[33]
4f8f4487-b38b-51e6-9033-c48f16e3e913,[6863],1,[19]
edb34023-8011-5086-ab32-e1c4823290f3,[2465],1,[29]
3c1d30fd-2578-5a0c-8cbc-4c3c0992ef8e,[988],1,[18]
d9fb20da-c93a-57c7-bb63-df6e207c8cdd,"[1011, 2541]",2,"[10, 24]"
731f48fc-f288-5512-ad47-b9c0e0b93408,[813],1,[32]
b25ce27a-1875-5643-b76a-e022db248bb2,[6101],1,[28]
8d691c7c-c527-5eb6-b60f-c20d0cc76eb7,[5173],1,[25]
61d9248c-1fd9-5f71-ab6f-911c801d9162,[6915],0,[1]
a9ebb1bf-84e1-55f7-8099-95119c67b754,[6505],0,[0]
918cb873-3b6a-5bee-b08d-d913c19b20b1,[2615],1,[17]
3187bde6-b670-5a96-9321-974d6dc1bb7e,"[403, 4433]",2,"[8, 27]"
b77484d4-8268-5a4a-a4fc-0a92ef96df7c,[6485],1,[34]
cc104f4c-fad7-570d-884f-70dab31accae,[5080],1,[32]
5c149392-3909-52fc-be2a-eb7095e51dfd,[1303],1,[19]
af3360ce-fe23-5ab7-9964-2f93703145ce,[3004],0,[6]
34c6bb7d-c0f4-5c8d-a483-b5c01144faed,"[4172, 4472]",2,"[3, 16]"
dcdfd046-fd23-526f-aef2-f69353718410,[5148],1,[24]
b3fc69c4-0e66-5baf-922c-ba429a201e8d,[355],1,[16]
76b817fa-a279-50f5-91d2-9ed15046a7c7,[7322],0,[5]
b84f6970-3fd9-548b-abad-dd6a4fc729d8,[22],0,[5]
035be600-a7cf-504a-b6bc-a5b66721f6f8,"[1039, 1040]",2,"[4, 24]"
4ff6d7c4-8919-5c3a-ab37-3b5cff3fbfa5,[1296],1,[35]
05e234ce-a095-5dbf-9ace-9606d5818bdc,[3571],1,[16]
43bd427f-2739-5182-b5ca-821e178f039a,[5078],0,[6]
1f729665-f160-5bc8-81de-cb12f26c69f3,[6089],1,[29]
e637025b-7d71-51b5-878f-d56a25457e7e,[3575],0,[11]
4acd0a75-6353-5a9a-828e-a7f013d080ab,[6065],1,[32]
e7084e64-22a9-5a96-956e-0fe56ea222b2,[3231],1,[26]
fcddce6a-c109-599d-b870-ace2bf305941,[1586],0,[9]
b0cf2cca-111f-52a4-a6e3-ebf88bf8f74d,[3298],1,[23]
17e874ad-0079-57d3-8382-f6d33c6d50e8,[3989],1,[30]
1f07bd25-168f-5a98-b8e4-bf95e0171dc5,[527],0,[8]
1c631c30-621f-5a3b-aa69-b6d5a13c3040,[857],1,[23]
73831d44-444f-53fe-be2a-cf0942f7ebc7,"[627, 2516]",2,"[9, 22]"
db732bf9-87a7-5301-9d0f-b3dfdb0bc44e,[1535],0,[11]
86b7e476-72ae-5dfc-ac93-12ec536adbae,[442],0,[6]
d2e0086e-beda-5777-91d0-30799ef0fa34,[6370],1,[30]
596d4faf-232a-508a-bdbb-ae15e509be7a,"[5607, 5540]",2,"[8, 17]"
1f392e25-1e26-56fb-8fb2-3b4824b3b542,"[4268, 4342]",2,"[2, 14]"
94a73cd4-2095-56a8-a5ad-90a342a368cf,[6275],1,[12]
4e8f8c59-bcb8-5c7d-b38c-3a57c485db8c,[4961],1,[27]
7c7ce66b-4e23-5cbd-ba7b-4252948bc153,[5883],0,[8]
25642100-5a16-5051-a895-d3cdadfebb0b,"[767, 6883]",2,"[2, 31]"
8f56d871-29d9-5edc-8f7a-7937d079eb84,[3695],0,[11]
80500f22-ba79-5a72-91f7-8cfd23f57230,[5725],1,[29]
bad32400-2018-5188-ad25-2f70809ad478,"[475, 2504]",2,"[9, 29]"
d8a44181-c596-51be-a41e-95c6ccfaee9f,[4440],1,[32]
b8da8f7c-af42-5cde-9500-9c987842f0bb,"[3885, 1427]",2,"[0, 23]"
1a3eca8b-4384-52ea-83c4-f525191f5563,[401],1,[23]
cf51735e-a3c9-5b13-9437-30131d646939,[2234],1,[33]
cf90c120-bc4c-52c4-b3c5-a54f417eabc3,[4678],0,[2]
eb98d614-6026-5298-971f-0dcb0807fdbb,[6579],1,[31]
b92f339c-abd5-58a4-bf5a-6f2a43960042,[4179],1,[15]
d771027c-0546-52b8-9ce9-cd42116dea92,"[2896, 4885]",2,"[2, 19]"
